Event	ID	Name			Wwise Object Path	Notes
	143313	Play_X_Falcon_Dash			\Default Work Unit\Play_X_Falcon_Dash	
	21663534	Stop_X_Charging			\Default Work Unit\Stop_X_Charging	
	50320752	X_Die			\Default Work Unit\X_Die	
	128191538	Play_X_Slash2_SFX			\Default Work Unit\Play_X_Slash2_SFX	
	179916425	X_ShotgunIce			\Default Work Unit\X_ShotgunIce	
	288862286	Play_X_MaxBusterChargeShot_SFX			\Default Work Unit\Play_X_MaxBusterChargeShot_SFX	
	469211204	Play_X_Rathalos_Swing_SFX			\Default Work Unit\Play_X_Rathalos_Swing_SFX	
	579338694	Play_X_LightBuster_C			\Default Work Unit\Play_X_LightBuster_C	
	785420306	X_Dash			\Default Work Unit\X_Dash	
	796650146	X_ChargeShot			\Default Work Unit\X_ChargeShot	
	860416293	Play_X_Error_SFX			\Default Work Unit\Play_X_Error_SFX	
	992292707	X_FullCharged			\Default Work Unit\X_FullCharged	
	1048831387	X_HomingTorpedo			\Default Work Unit\X_HomingTorpedo	
	1055369770	X_FireWaveSFX			\Default Work Unit\X_FireWaveSFX	
	1078095958	Play_X_Hypermode2_SFX			\Default Work Unit\Play_X_Hypermode2_SFX	
	1145248587	Play_XReady			\Default Work Unit\Play_XReady	
	1351141511	Play_X_Slash3_SFX			\Default Work Unit\Play_X_Slash3_SFX	
	1468615382	Play_X_Simple_Bullet			\Default Work Unit\Play_X_Simple_Bullet	
	1693478797	X_XPassive			\Default Work Unit\X_XPassive	
	1727730986	Play_X_RathalosBuster_S			\Default Work Unit\Play_X_RathalosBuster_S	
	1727731002	Play_X_RathalosBuster_C			\Default Work Unit\Play_X_RathalosBuster_C	
	1879878613	Play_X_NovaStrike_SFX			\Default Work Unit\Play_X_NovaStrike_SFX	
	1992039356	X_MidBullet			\Default Work Unit\X_MidBullet	
	2129706662	X_SqueezeBomb			\Default Work Unit\X_SqueezeBomb	
	2277553633	X_FireWave			\Default Work Unit\X_FireWave	
	2450744783	Play_X_RisingFire_SFX			\Default Work Unit\Play_X_RisingFire_SFX	
	2566621946	X_XAttack			\Default Work Unit\X_XAttack	
	2625481183	Play_X_HMCooldown2_SFX			\Default Work Unit\Play_X_HMCooldown2_SFX	
	2721729215	Play_X_Squeezebomb_SFX			\Default Work Unit\Play_X_Squeezebomb_SFX	
	2921199211	Play_X_Footstep_SFX			\Default Work Unit\Play_X_Footstep_SFX	
	3040214759	Play_X_GoldenArmor_SFX			\Default Work Unit\Play_X_GoldenArmor_SFX	
	3330226760	Play_X_HyperMode_SFX			\Default Work Unit\Play_X_HyperMode_SFX	
	3358936867	X_Charging			\Default Work Unit\X_Charging	
	3528795831	Play_X_HMCooldown_SFX			\Default Work Unit\Play_X_HMCooldown_SFX	
	3545925019	Play_X_Head_SFX			\Default Work Unit\Play_X_Head_SFX	
	3695398712	Play_X_AcidBurst_SFX			\Default Work Unit\Play_X_AcidBurst_SFX	
	3777387455	Play_X_GAGaea			\Default Work Unit\Play_X_GAGaea	
	3793204761	Play_X_MeltCreeper_VSFX			\Default Work Unit\Play_X_MeltCreeper_VSFX	
	3983830649	Play_X_RisingFireCharged_SFX			\Default Work Unit\Play_X_RisingFireCharged_SFX	
	4042456846	Play_X_HomingTorpedo_SFX			\Default Work Unit\Play_X_HomingTorpedo_SFX	
	4143933107	Play_ChameleonSting			\Default Work Unit\Play_ChameleonSting	
	4279990684	Play_X_ChameleonSting_SFX			\Default Work Unit\Play_X_ChameleonSting_SFX	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12677043	X_HyperMode_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_HyperMode_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_HyperMode_SFX		92403
	33205003	X_Error_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_Error_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_Error_SFX		3460
	107575684	X_Rathalos_Swing_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_Rathalos_Swing_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_Rathalos_Swing_SFX		10605
	111308443	X_AcidBurst_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_AcidBurst_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_AcidBurst_SFX		9824
	112646909	X_yooh_VSFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_yooh_VSFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\XAttack\X_yooh_VSFX		14898
	117793793	X_Head_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_Head_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_Head_SFX		21911
	152199808	XNotDoneYet	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XNotDoneYet_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\XPassive\XNotDoneYet		16352
	156095069	X_HMCooldown2_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_HMCooldown2_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_HMCooldown2_SFX		20900
	171007115	X_Squeezebomb_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_Squeezebomb_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_Squeezebomb_SFX		11416
	196729377	XHomingTorpedo	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XHomingTorpedo_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\XHomingTorpedo		7197
	196765274	XiWontGiveUp	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XiWontGiveUp_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\XPassive\XiWontGiveUp		15309
	209118938	X_MeltCreeper_VSFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_MeltCreeper_VSFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_MeltCreeper_VSFX		19770
	304795411	X_MaxBusterChargeShot_SFX	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X_MaxBusterChargeShot_SFX_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\X_MaxBusterChargeShot_SFX		14748
	312527344	FullCharge	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X8ChargeLoop2_EDCD4836.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Mixxer\FullCharge		9103
